2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,Pos,Rk,STL,TOV,TRB,Tm,eFG%,player_key
1.6,0.783,2.0,0.0,0.0,0.0,0.5,24.0,0.5,2.8,1.6,0.776,2.1,0.2,0.75,0.3,52.0,16.0,15.6,1.9,1.8,3.4,Jericho Sims,C,448.0,0.3,0.5,4.7,NYK,0.776,jericho sims
1.2,0.425,2.8,1.8,0.421,4.2,2.4,27.0,0.4,2.1,3.0,0.423,7.0,0.4,0.816,0.5,81.0,39.0,22.3,0.4,2.0,8.0,Jevon Carter,PG,83.0,0.8,1.0,2.5,MIL,0.549,jevon carter
6.9,0.564,12.3,0.6,0.35,1.6,5.3,33.0,0.3,3.7,7.5,0.539,13.9,7.4,0.85,8.7,64.0,64.0,33.4,2.2,1.3,22.9,Jimmy Butler,SF,75.0,1.8,1.6,5.9,MIA,0.56,jimmy butler
2.3,0.621,3.7,0.3,0.25,1.2,1.0,27.0,0.4,2.3,2.6,0.528,4.9,1.1,0.752,1.5,69.0,4.0,14.2,1.7,1.8,6.6,Jock Landale,C,280.0,0.2,0.9,4.1,PHO,0.559,jock landale
0.8,0.551,1.4,1.9,0.426,4.5,1.4,31.0,0.2,1.9,2.7,0.457,5.9,0.2,0.643,0.4,74.0,33.0,20.6,0.3,1.9,7.6,Joe Harris,SG,195.0,0.5,0.6,2.2,BRK,0.618,joe harris
0.5,0.556,1.0,1.8,0.409,4.4,3.3,35.0,0.1,2.5,2.3,0.435,5.4,0.4,0.857,0.5,46.0,0.0,22.7,0.3,1.6,6.9,Joe Ingles,SF,228.0,0.7,1.2,2.8,MIL,0.603,joe ingles
0.0,0.0,0.2,0.3,0.25,1.3,0.3,23.0,0.0,0.4,0.3,0.214,1.6,0.0,0.0,0.0,9.0,0.0,5.6,0.0,0.3,1.0,Joe Wieskamp,SF,511.0,0.0,0.1,0.4,TOR,0.321,joe wieskamp
10.0,0.587,17.1,1.0,0.33,3.0,4.2,28.0,1.7,8.4,11.0,0.548,20.1,10.0,0.857,11.7,66.0,66.0,34.6,1.7,3.1,33.1,Joel Embiid,C,143.0,1.0,3.4,10.2,PHI,0.573,joel embiid
0.5,0.5,0.9,0.4,0.229,1.8,0.6,20.0,0.5,0.7,0.9,0.321,2.8,0.2,0.75,0.2,19.0,1.0,11.6,0.2,1.2,2.4,John Butler,C,76.0,0.4,0.1,0.9,POR,0.396,john butler
4.1,0.619,6.6,1.0,0.292,3.4,1.2,25.0,1.0,5.4,5.1,0.508,10.0,2.0,0.803,2.5,71.0,71.0,30.0,1.1,3.1,13.1,John Collins,PF,96.0,0.6,1.1,6.5,ATL,0.557,john collins
1.1,0.545,2.0,0.8,0.339,2.5,1.4,26.0,0.3,3.4,1.9,0.431,4.4,0.4,0.778,0.5,72.0,23.0,20.8,0.9,1.6,5.1,John Konchar,SG,273.0,1.1,0.5,4.3,MEM,0.525,john konchar
3.1,0.459,6.7,1.0,0.303,3.2,5.2,32.0,0.4,2.3,4.1,0.408,9.9,2.3,0.681,3.3,34.0,3.0,22.2,0.4,1.7,11.4,John Wall,PG,497.0,0.8,2.4,2.7,LAC,0.457,john wall
